id,final_toy_type,assignment_id,goal_condition,social_condition,complete_time_min,browser,os,screen_w,screen_h,condition,ip,language,enjoyment,asses,age,gender,education,comments,trial_type,toy,toy_type,train_attempt_num,action,success,rt,trial_num,why_toy
1,activation,373ERPL3YO85MNRDLGE14YBJYQLRTU,no_goal,social,3.589933333333333,Chrome,Windows,1366,768,social-no_goal,106.51.110.169,tamil,Better than average,Yes,33,Female,Graduated College,none,activation,cyl-lever.png,right-lever,1,left-lever,FALSE,11772,1,NA
1,activation,373ERPL3YO85MNRDLGE14YBJYQLRTU,no_goal,social,3.589933333333333,Chrome,Windows,1366,768,social-no_goal,106.51.110.169,tamil,Better than average,Yes,33,Female,Graduated College,none,activation,cyl-lever.png,right-lever,2,right-lever,TRUE,5192,2,NA
1,activation,373ERPL3YO85MNRDLGE14YBJYQLRTU,no_goal,social,3.589933333333333,Chrome,Windows,1366,768,social-no_goal,106.51.110.169,tamil,Better than average,Yes,33,Female,Graduated College,none,activation,cyl-lever.png,right-lever,3,right-lever,TRUE,5846,3,NA
1,activation,373ERPL3YO85MNRDLGE14YBJYQLRTU,no_goal,social,3.589933333333333,Chrome,Windows,1366,768,social-no_goal,106.51.110.169,tamil,Better than average,Yes,33,Female,Graduated College,none,presentation,tri-button.png,right-button,1,left-button,FALSE,2446,4,NA
1,activation,373ERPL3YO85MNRDLGE14YBJYQLRTU,no_goal,social,3.589933333333333,Chrome,Windows,1366,768,social-no_goal,106.51.110.169,tamil,Better than average,Yes,33,Female,Graduated College,none,presentation,tri-button.png,right-button,2,right-button,TRUE,3119,5,NA
1,activation,373ERPL3YO85MNRDLGE14YBJYQLRTU,no_goal,social,3.589933333333333,Chrome,Windows,1366,768,social-no_goal,106.51.110.169,tamil,Better than average,Yes,33,Female,Graduated College,none,presentation,tri-button.png,right-button,3,right-button,TRUE,4010,6,NA
1,activation,373ERPL3YO85MNRDLGE14YBJYQLRTU,no_goal,social,3.589933333333333,Chrome,Windows,1366,768,social-no_goal,106.51.110.169,tamil,Better than average,Yes,33,Female,Graduated College,none,final_toy_choice,tri-button.png,na,na,na,NA,60506,7,i want to try this.
2,activation,3ATTHHXXWAOZA5XE03LPF9VYOQUIX4,presentation,social,4.341633333333333,Chrome,Windows,1366,768,social-presentation,2600:100b:b101:299e:8a7:7a0e:5360:5cf7,english,Average,Yes,35,Male,Graduated College,Thanks!,activation,tri-button.png,right-button,1,left-button,FALSE,4027,1,NA
2,activation,3ATTHHXXWAOZA5XE03LPF9VYOQUIX4,presentation,social,4.341633333333333,Chrome,Windows,1366,768,social-presentation,2600:100b:b101:299e:8a7:7a0e:5360:5cf7,english,Average,Yes,35,Male,Graduated College,Thanks!,activation,tri-button.png,right-button,2,right-button,TRUE,5246,2,NA
2,activation,3ATTHHXXWAOZA5XE03LPF9VYOQUIX4,presentation,social,4.341633333333333,Chrome,Windows,1366,768,social-presentation,2600:100b:b101:299e:8a7:7a0e:5360:5cf7,english,Average,Yes,35,Male,Graduated College,Thanks!,activation,tri-button.png,right-button,3,right-button,TRUE,6258,3,NA
2,activation,3ATTHHXXWAOZA5XE03LPF9VYOQUIX4,presentation,social,4.341633333333333,Chrome,Windows,1366,768,social-presentation,2600:100b:b101:299e:8a7:7a0e:5360:5cf7,english,Average,Yes,35,Male,Graduated College,Thanks!,presentation,cube-spinner.png,right-spinner,1,left-spinner,FALSE,2049,4,NA
2,activation,3ATTHHXXWAOZA5XE03LPF9VYOQUIX4,presentation,social,4.341633333333333,Chrome,Windows,1366,768,social-presentation,2600:100b:b101:299e:8a7:7a0e:5360:5cf7,english,Average,Yes,35,Male,Graduated College,Thanks!,presentation,cube-spinner.png,right-spinner,2,right-spinner,TRUE,1051,5,NA
2,activation,3ATTHHXXWAOZA5XE03LPF9VYOQUIX4,presentation,social,4.341633333333333,Chrome,Windows,1366,768,social-presentation,2600:100b:b101:299e:8a7:7a0e:5360:5cf7,english,Average,Yes,35,Male,Graduated College,Thanks!,presentation,cube-spinner.png,right-spinner,3,right-spinner,TRUE,1669,6,NA
2,activation,3ATTHHXXWAOZA5XE03LPF9VYOQUIX4,presentation,social,4.341633333333333,Chrome,Windows,1366,768,social-presentation,2600:100b:b101:299e:8a7:7a0e:5360:5cf7,english,Average,Yes,35,Male,Graduated College,Thanks!,final_toy_choice,cube-spinner.png,na,na,na,NA,8449,7,i like it
3,activation,3DY4FPOOA1OKZFV2QBEG5GZ4VB1RVA,learning,no_social,2.1766833333333335,Chrome,Windows,1920,1080,no_social-learning,144.92.38.238,English,Better than average,Yes,37,Male,Hold a higher degree,,activation,tri-button.png,right-button,1,left-button,FALSE,3941,1,NA
3,activation,3DY4FPOOA1OKZFV2QBEG5GZ4VB1RVA,learning,no_social,2.1766833333333335,Chrome,Windows,1920,1080,no_social-learning,144.92.38.238,English,Better than average,Yes,37,Male,Hold a higher degree,,activation,tri-button.png,right-button,2,right-button,TRUE,3057,2,NA
3,activation,3DY4FPOOA1OKZFV2QBEG5GZ4VB1RVA,learning,no_social,2.1766833333333335,Chrome,Windows,1920,1080,no_social-learning,144.92.38.238,English,Better than average,Yes,37,Male,Hold a higher degree,,activation,tri-button.png,right-button,3,right-button,TRUE,2319,3,NA
3,activation,3DY4FPOOA1OKZFV2QBEG5GZ4VB1RVA,learning,no_social,2.1766833333333335,Chrome,Windows,1920,1080,no_social-learning,144.92.38.238,English,Better than average,Yes,37,Male,Hold a higher degree,,presentation,cube-spinner.png,left-spinner,1,right-spinner,FALSE,3523,4,NA
3,activation,3DY4FPOOA1OKZFV2QBEG5GZ4VB1RVA,learning,no_social,2.1766833333333335,Chrome,Windows,1920,1080,no_social-learning,144.92.38.238,English,Better than average,Yes,37,Male,Hold a higher degree,,presentation,cube-spinner.png,left-spinner,2,left-spinner,TRUE,1989,5,NA
3,activation,3DY4FPOOA1OKZFV2QBEG5GZ4VB1RVA,learning,no_social,2.1766833333333335,Chrome,Windows,1920,1080,no_social-learning,144.92.38.238,English,Better than average,Yes,37,Male,Hold a higher degree,,presentation,cube-spinner.png,left-spinner,3,left-spinner,TRUE,2397,6,NA
3,activation,3DY4FPOOA1OKZFV2QBEG5GZ4VB1RVA,learning,no_social,2.1766833333333335,Chrome,Windows,1920,1080,no_social-learning,144.92.38.238,English,Better than average,Yes,37,Male,Hold a higher degree,,final_toy_choice,cube-spinner.png,na,na,na,NA,26823,7,i like the way it looks.
4,learning,3GA6AFUKOOONYCFGAWWG8H5FHIAH36,presentation,social,2.2489,Chrome,Windows,1366,768,social-presentation,68.179.156.5,english,Average,Yes,26,Female,Graduated College,,activation,cyl-lever.png,left-lever,1,right-lever,FALSE,3973,1,NA
4,learning,3GA6AFUKOOONYCFGAWWG8H5FHIAH36,presentation,social,2.2489,Chrome,Windows,1366,768,social-presentation,68.179.156.5,english,Average,Yes,26,Female,Graduated College,,activation,cyl-lever.png,left-lever,2,left-lever,TRUE,2160,2,NA
4,learning,3GA6AFUKOOONYCFGAWWG8H5FHIAH36,presentation,social,2.2489,Chrome,Windows,1366,768,social-presentation,68.179.156.5,english,Average,Yes,26,Female,Graduated College,,activation,cyl-lever.png,left-lever,3,right-lever,FALSE,5163,3,NA
4,learning,3GA6AFUKOOONYCFGAWWG8H5FHIAH36,presentation,social,2.2489,Chrome,Windows,1366,768,social-presentation,68.179.156.5,english,Average,Yes,26,Female,Graduated College,,activation,cyl-lever.png,left-lever,4,left-lever,TRUE,1183,4,NA
4,learning,3GA6AFUKOOONYCFGAWWG8H5FHIAH36,presentation,social,2.2489,Chrome,Windows,1366,768,social-presentation,68.179.156.5,english,Average,Yes,26,Female,Graduated College,,presentation,tri-button.png,left-button,1,right-button,FALSE,2348,5,NA
4,learning,3GA6AFUKOOONYCFGAWWG8H5FHIAH36,presentation,social,2.2489,Chrome,Windows,1366,768,social-presentation,68.179.156.5,english,Average,Yes,26,Female,Graduated College,,presentation,tri-button.png,left-button,2,left-button,TRUE,1290,6,NA
4,learning,3GA6AFUKOOONYCFGAWWG8H5FHIAH36,presentation,social,2.2489,Chrome,Windows,1366,768,social-presentation,68.179.156.5,english,Average,Yes,26,Female,Graduated College,,presentation,tri-button.png,left-button,3,left-button,TRUE,3529,7,NA
4,learning,3GA6AFUKOOONYCFGAWWG8H5FHIAH36,presentation,social,2.2489,Chrome,Windows,1366,768,social-presentation,68.179.156.5,english,Average,Yes,26,Female,Graduated College,,final_toy_choice,cube-spinner.png,na,na,na,NA,23187,8,i didn't play with it yet.
5,presentation,3LRLIPTPEQ9EKNF9PWEN8HZDF96KA9,no_goal,social,5.57645,Chrome,Windows,1536,864,social-no_goal,103.66.79.128,,Average,Yes,33,Male,Graduated College,,activation,tri-button.png,left-button,1,right-button,FALSE,7319,1,NA
5,presentation,3LRLIPTPEQ9EKNF9PWEN8HZDF96KA9,no_goal,social,5.57645,Chrome,Windows,1536,864,social-no_goal,103.66.79.128,,Average,Yes,33,Male,Graduated College,,activation,tri-button.png,left-button,2,left-button,TRUE,7112,2,NA
5,presentation,3LRLIPTPEQ9EKNF9PWEN8HZDF96KA9,no_goal,social,5.57645,Chrome,Windows,1536,864,social-no_goal,103.66.79.128,,Average,Yes,33,Male,Graduated College,,activation,tri-button.png,left-button,3,left-button,TRUE,5545,3,NA
5,presentation,3LRLIPTPEQ9EKNF9PWEN8HZDF96KA9,no_goal,social,5.57645,Chrome,Windows,1536,864,social-no_goal,103.66.79.128,,Average,Yes,33,Male,Graduated College,,presentation,cube-spinner.png,left-spinner,1,right-spinner,FALSE,4790,4,NA
5,presentation,3LRLIPTPEQ9EKNF9PWEN8HZDF96KA9,no_goal,social,5.57645,Chrome,Windows,1536,864,social-no_goal,103.66.79.128,,Average,Yes,33,Male,Graduated College,,presentation,cube-spinner.png,left-spinner,2,left-spinner,TRUE,2491,5,NA
5,presentation,3LRLIPTPEQ9EKNF9PWEN8HZDF96KA9,no_goal,social,5.57645,Chrome,Windows,1536,864,social-no_goal,103.66.79.128,,Average,Yes,33,Male,Graduated College,,presentation,cube-spinner.png,left-spinner,3,left-spinner,TRUE,3565,6,NA
5,presentation,3LRLIPTPEQ9EKNF9PWEN8HZDF96KA9,no_goal,social,5.57645,Chrome,Windows,1536,864,social-no_goal,103.66.79.128,,Average,Yes,33,Male,Graduated College,,final_toy_choice,tri-button.png,na,na,na,NA,62565,7,because i know which side plays the music already.
6,presentation,3QY7M81QH7MW1LHBIT23YQXNE10K7I,learning,social,4.074333333333334,Chrome,Windows,1920,1080,social-learning,87.220.178.235,Spanish,Better than average,Yes,30,Male,Graduated High School,,activation,tri-button.png,left-button,1,right-button,FALSE,8331,1,NA
6,presentation,3QY7M81QH7MW1LHBIT23YQXNE10K7I,learning,social,4.074333333333334,Chrome,Windows,1920,1080,social-learning,87.220.178.235,Spanish,Better than average,Yes,30,Male,Graduated High School,,activation,tri-button.png,left-button,2,left-button,TRUE,6898,2,NA
6,presentation,3QY7M81QH7MW1LHBIT23YQXNE10K7I,learning,social,4.074333333333334,Chrome,Windows,1920,1080,social-learning,87.220.178.235,Spanish,Better than average,Yes,30,Male,Graduated High School,,activation,tri-button.png,left-button,3,left-button,TRUE,4386,3,NA
6,presentation,3QY7M81QH7MW1LHBIT23YQXNE10K7I,learning,social,4.074333333333334,Chrome,Windows,1920,1080,social-learning,87.220.178.235,Spanish,Better than average,Yes,30,Male,Graduated High School,,presentation,cube-spinner.png,left-spinner,1,right-spinner,FALSE,5501,4,NA
6,presentation,3QY7M81QH7MW1LHBIT23YQXNE10K7I,learning,social,4.074333333333334,Chrome,Windows,1920,1080,social-learning,87.220.178.235,Spanish,Better than average,Yes,30,Male,Graduated High School,,presentation,cube-spinner.png,left-spinner,2,left-spinner,TRUE,3518,5,NA
6,presentation,3QY7M81QH7MW1LHBIT23YQXNE10K7I,learning,social,4.074333333333334,Chrome,Windows,1920,1080,social-learning,87.220.178.235,Spanish,Better than average,Yes,30,Male,Graduated High School,,presentation,cube-spinner.png,left-spinner,3,left-spinner,TRUE,2717,6,NA
6,presentation,3QY7M81QH7MW1LHBIT23YQXNE10K7I,learning,social,4.074333333333334,Chrome,Windows,1920,1080,social-learning,87.220.178.235,Spanish,Better than average,Yes,30,Male,Graduated High School,,final_toy_choice,tri-button.png,na,na,na,NA,42901,7,because i've already used it
7,presentation,3SKEMFQBZ3501ZMUSYU9CQTIPL6K85,learning,no_social,7.768583333333333,Firefox,Windows,1920,1080,no_social-learning,69.243.81.82,English,Better than average,Yes,30,Male,Graduated High School,,activation,cube-spinner.png,right-spinner,1,left-spinner,FALSE,4347,1,NA
7,presentation,3SKEMFQBZ3501ZMUSYU9CQTIPL6K85,learning,no_social,7.768583333333333,Firefox,Windows,1920,1080,no_social-learning,69.243.81.82,English,Better than average,Yes,30,Male,Graduated High School,,activation,cube-spinner.png,right-spinner,2,right-spinner,TRUE,3552,2,NA
7,presentation,3SKEMFQBZ3501ZMUSYU9CQTIPL6K85,learning,no_social,7.768583333333333,Firefox,Windows,1920,1080,no_social-learning,69.243.81.82,English,Better than average,Yes,30,Male,Graduated High School,,activation,cube-spinner.png,right-spinner,3,right-spinner,TRUE,3854,3,NA
7,presentation,3SKEMFQBZ3501ZMUSYU9CQTIPL6K85,learning,no_social,7.768583333333333,Firefox,Windows,1920,1080,no_social-learning,69.243.81.82,English,Better than average,Yes,30,Male,Graduated High School,,presentation,cyl-lever.png,right-lever,1,left-lever,FALSE,2101,4,NA
7,presentation,3SKEMFQBZ3501ZMUSYU9CQTIPL6K85,learning,no_social,7.768583333333333,Firefox,Windows,1920,1080,no_social-learning,69.243.81.82,English,Better than average,Yes,30,Male,Graduated High School,,presentation,cyl-lever.png,right-lever,2,right-lever,TRUE,2153,5,NA
7,presentation,3SKEMFQBZ3501ZMUSYU9CQTIPL6K85,learning,no_social,7.768583333333333,Firefox,Windows,1920,1080,no_social-learning,69.243.81.82,English,Better than average,Yes,30,Male,Graduated High School,,presentation,cyl-lever.png,right-lever,3,right-lever,TRUE,2275,6,NA
7,presentation,3SKEMFQBZ3501ZMUSYU9CQTIPL6K85,learning,no_social,7.768583333333333,Firefox,Windows,1920,1080,no_social-learning,69.243.81.82,English,Better than average,Yes,30,Male,Graduated High School,,final_toy_choice,cube-spinner.png,na,na,na,NA,46670,7,because i have already seen that it functions by using the right spinner.
8,presentation,3WAKVUDHUWGA4HMNC7654D6LGPT7UR,learning,social,9.636616666666667,Chrome,Windows,1920,1080,social-learning,205.185.222.226,english,Average,Yes,52,Female,Some College,,activation,cube-spinner.png,right-spinner,1,left-spinner,FALSE,5125,1,NA
8,presentation,3WAKVUDHUWGA4HMNC7654D6LGPT7UR,learning,social,9.636616666666667,Chrome,Windows,1920,1080,social-learning,205.185.222.226,english,Average,Yes,52,Female,Some College,,activation,cube-spinner.png,right-spinner,2,right-spinner,TRUE,2283,2,NA
8,presentation,3WAKVUDHUWGA4HMNC7654D6LGPT7UR,learning,social,9.636616666666667,Chrome,Windows,1920,1080,social-learning,205.185.222.226,english,Average,Yes,52,Female,Some College,,activation,cube-spinner.png,right-spinner,3,left-spinner,FALSE,5755,3,NA
8,presentation,3WAKVUDHUWGA4HMNC7654D6LGPT7UR,learning,social,9.636616666666667,Chrome,Windows,1920,1080,social-learning,205.185.222.226,english,Average,Yes,52,Female,Some College,,activation,cube-spinner.png,right-spinner,4,right-spinner,TRUE,1634,4,NA
8,presentation,3WAKVUDHUWGA4HMNC7654D6LGPT7UR,learning,social,9.636616666666667,Chrome,Windows,1920,1080,social-learning,205.185.222.226,english,Average,Yes,52,Female,Some College,,presentation,tri-button.png,left-button,1,right-button,FALSE,1981,5,NA
8,presentation,3WAKVUDHUWGA4HMNC7654D6LGPT7UR,learning,social,9.636616666666667,Chrome,Windows,1920,1080,social-learning,205.185.222.226,english,Average,Yes,52,Female,Some College,,presentation,tri-button.png,left-button,2,left-button,TRUE,3442,6,NA
8,presentation,3WAKVUDHUWGA4HMNC7654D6LGPT7UR,learning,social,9.636616666666667,Chrome,Windows,1920,1080,social-learning,205.185.222.226,english,Average,Yes,52,Female,Some College,,presentation,tri-button.png,left-button,3,right-button,FALSE,5447,7,NA
8,presentation,3WAKVUDHUWGA4HMNC7654D6LGPT7UR,learning,social,9.636616666666667,Chrome,Windows,1920,1080,social-learning,205.185.222.226,english,Average,Yes,52,Female,Some College,,presentation,tri-button.png,left-button,4,left-button,TRUE,1782,8,NA
8,presentation,3WAKVUDHUWGA4HMNC7654D6LGPT7UR,learning,social,9.636616666666667,Chrome,Windows,1920,1080,social-learning,205.185.222.226,english,Average,Yes,52,Female,Some College,,final_toy_choice,cube-spinner.png,na,na,na,NA,14841,9,like the shape of it
9,learning,3WQQ9FUS6AUZ8WI0MLHGDNAS2OS8BY,presentation,social,2.7863333333333333,Chrome,Windows,1920,1080,social-presentation,2604:2000:28cc:f500:1432:1d70:d997:7a94,English,Better than average,Yes,23,Male,Graduated High School,"No, but thank you",activation,cyl-lever.png,right-lever,1,left-lever,FALSE,3805,1,NA
9,learning,3WQQ9FUS6AUZ8WI0MLHGDNAS2OS8BY,presentation,social,2.7863333333333333,Chrome,Windows,1920,1080,social-presentation,2604:2000:28cc:f500:1432:1d70:d997:7a94,English,Better than average,Yes,23,Male,Graduated High School,"No, but thank you",activation,cyl-lever.png,right-lever,2,right-lever,TRUE,5869,2,NA
9,learning,3WQQ9FUS6AUZ8WI0MLHGDNAS2OS8BY,presentation,social,2.7863333333333333,Chrome,Windows,1920,1080,social-presentation,2604:2000:28cc:f500:1432:1d70:d997:7a94,English,Better than average,Yes,23,Male,Graduated High School,"No, but thank you",activation,cyl-lever.png,right-lever,3,right-lever,TRUE,3475,3,NA
9,learning,3WQQ9FUS6AUZ8WI0MLHGDNAS2OS8BY,presentation,social,2.7863333333333333,Chrome,Windows,1920,1080,social-presentation,2604:2000:28cc:f500:1432:1d70:d997:7a94,English,Better than average,Yes,23,Male,Graduated High School,"No, but thank you",presentation,cube-spinner.png,right-spinner,1,left-spinner,FALSE,3251,4,NA
9,learning,3WQQ9FUS6AUZ8WI0MLHGDNAS2OS8BY,presentation,social,2.7863333333333333,Chrome,Windows,1920,1080,social-presentation,2604:2000:28cc:f500:1432:1d70:d997:7a94,English,Better than average,Yes,23,Male,Graduated High School,"No, but thank you",presentation,cube-spinner.png,right-spinner,2,right-spinner,TRUE,1674,5,NA
9,learning,3WQQ9FUS6AUZ8WI0MLHGDNAS2OS8BY,presentation,social,2.7863333333333333,Chrome,Windows,1920,1080,social-presentation,2604:2000:28cc:f500:1432:1d70:d997:7a94,English,Better than average,Yes,23,Male,Graduated High School,"No, but thank you",presentation,cube-spinner.png,right-spinner,3,right-spinner,TRUE,2831,6,NA
9,learning,3WQQ9FUS6AUZ8WI0MLHGDNAS2OS8BY,presentation,social,2.7863333333333333,Chrome,Windows,1920,1080,social-presentation,2604:2000:28cc:f500:1432:1d70:d997:7a94,English,Better than average,Yes,23,Male,Graduated High School,"No, but thank you",final_toy_choice,tri-button.png,na,na,na,NA,33443,7,because i know to choose the right button to play music
